"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",7.173513,7.173513,7.173513
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",52.794802%,52.794802%,52.794802%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",7.153836%,7.153836%,7.153836%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.721018%,1.721018%,1.721018%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"achieved_occupancy","Achieved Occupancy",0.435640,0.435640,0.435640
"GeForce GTX 1080 Ti (0)","foo::sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"issue_slot_utilization","Issue Slot Utilization",90.615272%,90.615272%,90.615272%
"GeForce GTX 1080 Ti (0)","foo::sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",10.277908,10.277908,10.277908
"GeForce GTX 1080 Ti (0)","foo::sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",25.231363%,25.231363%,25.231363%
"GeForce GTX 1080 Ti (0)","foo::sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",19.908702%,19.908702%,19.908702%
"GeForce GTX 1080 Ti (0)","foo::sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.493290%,1.493290%,1.493290%
"GeForce GTX 1080 Ti (0)","foo::sia_blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"achieved_occupancy","Achieved Occupancy",0.488934,0.488934,0.488934
