"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"issue_slot_utilization","Issue Slot Utilization",49.232082%,49.232082%,49.232082%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",3.483976,3.483976,3.483976
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",66.936204%,66.936204%,66.936204%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",6.487848%,6.487848%,6.487848%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.341504%,1.341504%,1.341504%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_100(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"achieved_occupancy","Achieved Occupancy",0.249230,0.249230,0.249230
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_100(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"issue_slot_utilization","Issue Slot Utilization",66.618700%,66.618700%,66.618700%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_100(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",5.850204,5.850204,5.850204
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_100(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",40.053476%,40.053476%,40.053476%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_100(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",7.674694%,7.674694%,7.674694%
